GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PTS,PLUS_MINUS,SUM_TIME_PLAYED,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,EFG_PCT,AST_PCT,AST_TO,REB_PCT
-1627936-1628983-1630198-1642349-1642382-,A. Caruso - S. Gilgeous-Alexander - I. Joe - A. Mitchell - B. Carlson,4,4,0,1.0,23.125,0.571,0.35,0.8,5,17,22,16,4.0,9,2,75,27.0,69375,141.5,88.9,52.6,111.05,0.674,0.643,0.571,4.0,0.479
-1629652-1630598-1642260-1642272-1642382-,L. Dort - A. Wiggins - N. Topić - J. McCain - B. Carlson,2,0,2,0.0,22.568333,0.429,0.423,0.5,3,15,18,12,5.0,2,1,49,-14.0,67705,104.3,137.0,-32.7,98.9,0.56,0.56,0.667,2.4,0.389
-1627936-1628392-1631096-1641717-1642349-,A. Caruso - I. Hartenstein - C. Holmgren - C. Wallace - A. Mitchell,5,4,1,0.8,21.8,0.528,0.222,0.769,2,17,19,12,7.0,6,1,50,10.0,65400,104.2,87.0,17.2,103.49,0.599,0.556,0.632,1.71,0.476
-1628392-1629652-1631096-1631114-1641717-,I. Hartenstein - L. Dort - C. Holmgren - J. Williams - C. Wallace,2,2,0,1.0,20.983333,0.525,0.313,1.0,5,11,16,14,5.0,2,2,55,0.0,62950,127.9,127.9,0.0,98.36,0.632,0.588,0.667,2.8,0.568
-1628983-1630198-1631119-1641717-1642349-,S. Gilgeous-Alexander - I. Joe - J. Williams - C. Wallace - A. Mitchell,10,8,2,0.8,20.315,0.575,0.471,0.824,4,14,18,10,5.0,5,1,68,22.0,60945,138.8,97.9,40.9,113.41,0.716,0.675,0.435,2.0,0.5
-1627936-1628983-1629652-1631096-1641717-,A. Caruso - S. Gilgeous-Alexander - L. Dort - C. Holmgren - C. Wallace,10,8,2,0.8,20.23,0.486,0.2,0.875,3,14,17,8,5.0,6,2,46,4.0,60690,102.2,82.4,19.9,113.89,0.568,0.527,0.444,1.6,0.5
-1628983-1630598-1631096-1631114-1641717-,S. Gilgeous-Alexander - A. Wiggins - C. Holmgren - J. Williams - C. Wallace,3,3,0,1.0,19.751667,0.625,0.333,0.909,2,16,18,11,4.0,2,4,52,7.0,59255,130.0,112.5,17.5,97.21,0.706,0.656,0.55,2.75,0.442
-1628983-1630598-1631096-1641717-1642349-,S. Gilgeous-Alexander - A. Wiggins - C. Holmgren - C. Wallace - A. Mitchell,6,6,0,1.0,19.455,0.618,0.455,0.857,3,13,16,13,6.0,8,3,53,10.0,58365,123.3,104.9,18.4,103.62,0.715,0.691,0.619,2.17,0.471
-1628983-1629652-1630198-1631119-1642349-,S. Gilgeous-Alexander - L. Dort - I. Joe - J. Williams - A. Mitchell,9,9,0,1.0,19.091667,0.471,0.286,0.6,0,18,18,6,5.0,5,1,42,-4.0,57275,91.3,102.2,-10.9,114.4,0.547,0.529,0.375,1.2,0.488
-1627936-1628392-1631096-1631172-1642349-,A. Caruso - I. Hartenstein - C. Holmgren - O. Dieng - A. Mitchell,4,4,0,1.0,18.533333,0.513,0.333,1.0,4,18,22,12,6.0,7,3,50,14.0,55600,119.0,85.7,33.3,108.78,0.6,0.564,0.6,2.0,0.575
-1627936-1628392-1630198-1631096-1642272-,A. Caruso - I. Hartenstein - I. Joe - C. Holmgren - J. McCain,4,4,0,1.0,18.066667,0.486,0.364,0.75,6,16,22,12,0.0,1,2,50,24.0,54200,147.1,78.8,68.3,89.0,0.617,0.595,0.667,0.0,0.65
-1629652-1630598-1631119-1641717-1642272-,L. Dort - A. Wiggins - J. Williams - C. Wallace - J. McCain,5,3,2,0.6,17.811667,0.516,0.444,1.0,1,11,12,10,5.0,4,1,47,-2.0,53435,120.5,116.7,3.8,109.14,0.69,0.645,0.625,2.0,0.419
-1628983-1629652-1631096-1631114-1642349-,S. Gilgeous-Alexander - L. Dort - C. Holmgren - J. Williams - A. Mitchell,8,5,3,0.625,17.718333,0.528,0.2,0.933,5,11,16,8,0.0,1,2,54,2.0,53155,138.5,130.0,8.5,107.01,0.634,0.556,0.421,0.0,0.594
-1628392-1628983-1630598-1641717-1642349-,I. Hartenstein - S. Gilgeous-Alexander - A. Wiggins - C. Wallace - A. Mitchell,4,3,1,0.75,17.678333,0.5,0.545,0.867,1,14,15,11,7.0,5,1,49,3.0,53035,114.0,109.5,4.4,115.4,0.669,0.6,0.733,1.57,0.514
-1629026-1630198-1630598-1642382-1642959-,K. Williams - I. Joe - A. Wiggins - B. Carlson - C. Youngblood,4,2,2,0.5,17.533333,0.364,0.304,0.75,4,12,16,9,3.0,4,1,37,5.0,52600,102.8,88.9,13.9,98.56,0.507,0.47,0.75,3.0,0.45
-1629652-1630198-1630598-1631119-1641717-,L. Dort - I. Joe - A. Wiggins - J. Williams - C. Wallace,4,2,2,0.5,17.45,0.545,0.267,1.0,3,11,14,12,2.0,4,1,46,8.0,52350,131.4,105.6,25.9,97.65,0.645,0.606,0.667,6.0,0.5
-1628983-1630198-1631096-1631119-1641717-,S. Gilgeous-Alexander - I. Joe - C. Holmgren - J. Williams - C. Wallace,8,5,3,0.625,17.283333,0.467,0.316,0.9,2,10,12,7,5.0,2,2,52,15.0,51850,126.8,102.8,24.1,106.92,0.67,0.567,0.5,1.4,0.516
-1627936-1628983-1631119-1641717-1642272-,A. Caruso - S. Gilgeous-Alexander - J. Williams - C. Wallace - J. McCain,4,4,0,1.0,17.045,0.533,0.267,0.714,1,15,16,10,4.0,3,6,41,6.0,51135,107.9,94.6,13.3,105.6,0.62,0.6,0.625,2.5,0.5
-1629026-1630598-1642260-1642272-1642382-,K. Williams - A. Wiggins - N. Topić - J. McCain - B. Carlson,4,3,1,0.75,16.833333,0.625,0.462,0.667,3,9,12,15,7.0,1,3,48,-5.0,50500,129.7,139.5,-9.7,106.93,0.72,0.719,0.75,2.14,0.483
-1628983-1629652-1630198-1631096-1642349-,S. Gilgeous-Alexander - L. Dort - I. Joe - C. Holmgren - A. Mitchell,8,8,0,1.0,16.286667,0.515,0.375,0.75,3,9,12,7,1.0,3,4,46,8.0,48860,131.4,108.6,22.9,103.15,0.63,0.606,0.412,7.0,0.359
-1629652-1630198-1630598-1631096-1641717-,L. Dort - I. Joe - A. Wiggins - C. Holmgren - C. Wallace,4,4,0,1.0,16.156667,0.387,0.182,0.909,5,14,19,4,5.0,3,2,36,3.0,48470,100.0,94.3,5.7,105.47,0.502,0.419,0.333,0.8,0.537
-1628983-1629652-1630198-1630598-1631119-,S. Gilgeous-Alexander - L. Dort - I. Joe - A. Wiggins - J. Williams,7,6,1,0.857,16.116667,0.5,0.4,0.667,4,11,15,7,3.0,2,0,34,-2.0,48350,117.2,112.5,4.7,90.84,0.594,0.577,0.538,2.33,0.469
-1627936-1628983-1631096-1641717-1642349-,A. Caruso - S. Gilgeous-Alexander - C. Holmgren - C. Wallace - A. Mitchell,9,5,4,0.556,16.086667,0.577,0.333,0.9,1,11,12,7,5.0,4,1,42,-1.0,48260,113.5,110.3,3.3,113.39,0.691,0.635,0.467,1.4,0.438
-1630198-1631172-1642382-1642959-1642964-,I. Joe - O. Dieng - B. Carlson - C. Youngblood - B. Barnhizer,3,3,0,1.0,16.033333,0.407,0.267,1.0,3,10,13,9,6.0,3,3,31,-15.0,48100,88.6,135.3,-46.7,103.28,0.531,0.481,0.818,1.5,0.419
-1629026-1631096-1631114-1641717-1642349-,K. Williams - C. Holmgren - J. Williams - C. Wallace - A. Mitchell,3,2,1,0.667,15.8,0.471,0.333,1.0,4,9,13,9,1.0,4,3,40,14.0,47400,121.2,81.3,40.0,98.73,0.559,0.529,0.563,9.0,0.429
-1627936-1628392-1630598-1631096-1642349-,A. Caruso - I. Hartenstein - A. Wiggins - C. Holmgren - A. Mitchell,2,2,0,1.0,15.316667,0.741,0.5,0.75,3,9,12,16,4.0,6,1,46,19.0,45950,158.6,87.1,71.5,94.02,0.8,0.796,0.8,4.0,0.667
-1628983-1629652-1631114-1641717-1642382-,S. Gilgeous-Alexander - L. Dort - J. Williams - C. Wallace - B. Carlson,2,2,0,1.0,15.216667,0.345,0.429,1.0,1,15,16,6,5.0,3,4,28,2.0,45650,82.4,81.3,1.1,104.1,0.469,0.448,0.6,1.2,0.421
-1628392-1630198-1631096-1642272-1642349-,I. Hartenstein - I. Joe - C. Holmgren - J. McCain - A. Mitchell,2,2,0,1.0,14.916667,0.567,0.5,1.0,3,15,18,12,2.0,2,0,40,15.0,44750,129.0,78.1,50.9,101.36,0.648,0.633,0.706,6.0,0.655
-1628983-1629652-1631119-1641717-1642349-,S. Gilgeous-Alexander - L. Dort - J. Williams - C. Wallace - A. Mitchell,11,11,0,1.0,14.69,0.44,0.214,0.867,4,11,15,5,3.0,1,2,38,11.0,44070,111.8,87.1,24.7,106.19,0.601,0.5,0.455,1.67,0.486
-1628392-1630198-1631096-1641717-1642349-,I. Hartenstein - I. Joe - C. Holmgren - C. Wallace - A. Mitchell,3,3,0,1.0,14.583333,0.286,0.214,0.6,5,9,14,7,7.0,5,2,22,-8.0,43750,68.8,100.0,-31.3,102.03,0.364,0.339,0.875,1.0,0.486
-1629026-1629652-1630198-1631096-1641717-,K. Williams - L. Dort - I. Joe - C. Holmgren - C. Wallace,2,1,1,0.5,14.183333,0.36,0.353,0.667,2,12,14,8,4.0,0,4,26,-2.0,42550,96.3,103.7,-7.4,91.37,0.494,0.48,0.889,2.0,0.484
-1627936-1628392-1630198-1631114-1642349-,A. Caruso - I. Hartenstein - I. Joe - J. Williams - A. Mitchell,3,3,0,1.0,14.1,0.429,0.25,0.8,3,10,13,6,4.0,1,0,28,-5.0,42300,100.0,113.8,-13.8,97.02,0.551,0.476,0.667,1.5,0.483
-1628392-1628983-1629652-1630598-1631096-,I. Hartenstein - S. Gilgeous-Alexander - L. Dort - A. Wiggins - C. Holmgren,4,3,1,0.75,13.976667,0.4,0.385,0.857,5,9,14,7,7.0,4,1,31,1.0,41930,100.0,100.0,0.0,104.75,0.552,0.5,0.7,1.0,0.593
-1628392-1628983-1630598-1631119-1641717-,I. Hartenstein - S. Gilgeous-Alexander - A. Wiggins - J. Williams - C. Wallace,2,1,1,0.5,13.766667,0.6,0.5,0.857,2,10,12,13,2.0,3,2,44,10.0,41300,157.1,121.4,35.7,97.63,0.783,0.76,0.867,6.5,0.52
